band,n_components,seed,train_accuracy,val_accuracy,test_accuracy,test_f1_macro,training_time_sec
combined,2,0,0.13076682750720311,0.12344079053944597,0.12876579203109814,0.10336106337553619,266.8415114879608
combined,2,1,0.12493491165341757,0.11955289162481776,0.1345966958211856,0.09896101212406036,183.69036197662354
combined,2,2,0.13281494081299683,0.12311679896322696,0.12714609653385164,0.10374765239206739,180.69366431236267
combined,4,0,0.13541847467629395,0.1307306010043739,0.1323291221250405,0.11499511113278765,181.88388681411743
combined,4,1,0.1343076335612872,0.123764782115665,0.13540654356980888,0.11681337793161992,182.7811517715454
combined,4,2,0.1384385739577186,0.12846265997084075,0.12487852283770651,0.10444913027918977,183.5815076828003
combined,6,0,0.14243065921477419,0.13688644095253524,0.13816002591512797,0.1261445224830247,186.34095692634583
combined,6,2,0.1415,0.1319,0.1354,0.119,261.25
combined,8,1,0.1424,0.1304,0.1372,0.1268,265.01
combined,8,2,0.1443,0.1285,0.1388,0.1266,262.54
